illness;symptoms
polyneuropathy;['difficulty swallowing', 'difficulty walking', 'fatigue', 'gruffness', 'numbness', 'prickling', 'slurred speech', 'weakness']
polyps;['fatigue', 'hearing loss', 'heavy menstrual bleeding', 'loss smell', 'loss taste', 'runny nose', 'sneeze', 'snoring', 'worry']
porphyria;['abdominal pain', 'constipation', 'electrolyte imbalance', 'inflammation', 'low blood pressure', 'muscle pain', 'numbness', 'prickling', 'rash', 'seizure', 'sensitivity light', 'swelling', 'vomiting', 'weakness']
porphyrins;['anxiety']
portacaval;['blood clots']
portosystemic;['blood clots']
postpartum;['agitation', 'anxiety', 'depression', 'irritability', 'restlessness']
poststreptococcal;['joint pain', 'stiffness', 'swelling']
posttraumatic;['agitation', 'anxiety', 'faint', 'vertigo', 'worry']
praderwilli;['high blood pressure', 'weight gain']
precautions;['cough']
preeclampsia;['blurry vision', 'heartburn', 'nausea', 'sensitivity light', 'swelling', 'vomiting', 'weight gain', 'worry']
preexisting;['high blood pressure', 'jaundice', 'low blood sugar']
premature;['hot flashes', 'mood swings', 'night sweats', 'swelling']
premenstrual;['anxiety', 'bloat', 'confusion', 'constipation', 'depression', 'diarrhea', 'fatigue', 'forgetfulness', 'irritability', 'low energy', 'mood swings', 'muscle pain', 'slowness', 'swelling', 'worry']
proctitis;['constipation']
proctocolectomy;['cough']
prolactinoma;['erectile dysfunction', 'double vision', 'nausea', 'vomiting', 'worry']
prolapse;['blood clots', 'breathing problems', 'chest pain', 'constipation', 'fatigue', 'incontinence', 'palpitation', 'shortness breath', 'vaginal discharge', 'vertigo']
prostate;['anxiety', 'blood clots', 'cough', 'diarrhea', 'fatigue', 'fever', 'incontinence', 'sneeze']
prostatitis;['blush', 'chill', 'fever', 'inflammation']
proteinlosing;['abdominal pain', 'diarrhea', 'fever', 'swelling']
pseudocyst;['bloat', 'loss appetite', 'nausea', 'vomiting']
pseudoobstruction;['abdominal pain', 'bloat', 'constipation', 'nausea', 'vomiting', 'weight loss']
pseudotumor;['double vision', 'swelling']
psoriasis;['rash', 'joint pain', 'skin peeling', 'itch', 'worry']
psychotic;['delusion', 'depression', 'hallucination']
pulmonale;['bluish lips', 'chest pain', 'cough', 'faint', 'fainting spells', 'shortness breath', 'swelling', 'vertigo', 'wheeze']
pulmonary;['chest pain', 'chill', 'cough', 'fatigue', 'feeling faint', 'fever', 'irritability', 'joint pain', 'pale skin', 'perspiration', 'rapid breathing', 'rash', 'shortness breath', 'stiffness', 'weight loss', 'wheeze']
purpura;['abdominal pain', 'bruise', 'confusion', 'diarrhea', 'fatigue', 'fever', 'joint pain', 'nausea', 'pale skin', 'rash', 'shortness breath', 'swelling', 'urtication', 'vomiting', 'weakness', 'worry']
pyogenic;['chest pain', 'chill', 'dark urine', 'fever', 'jaundice', 'loss appetite', 'nausea', 'night sweats', 'shoulder pain', 'vomiting', 'weakness', 'weight loss']
quervain;['numbness', 'stiffness', 'swelling']
queyrat;['rash']
quickrelief;['anxiety', 'irregular heartbeat', 'restlessness', 'worry']
rabies;['fever', 'hallucination', 'nausea', 'numbness', 'prickling', 'restlessness', 'salivate', 'seizure', 'spasm', 'vomiting', 'worry']
radial;['burning sensation', 'loss coordination', 'numbness', 'prickling', 'swelling', 'weakness']
ratbite;['chill', 'fever', 'inflammation', 'joint pain', 'rash', 'swelling', 'swollen lymph nodes']
raynaud;['prickling']
reactive;['abdominal pain', 'diarrhea', 'eye discharge', 'fever', 'inflammation', 'joint pain', 'stiffness', 'swelling']
rectal;['blood clots', 'breathing problems', 'constipation', 'diarrhea', 'incontinence', 'swelling']
reflux;['breathing problems', 'chest pain', 'choking', 'constipation', 'cough', 'diarrhea', 'difficulty swallowing', 'gruffness', 'heartburn', 'nausea', 'nausea after eating', 'sore throat', 'vomiting', 'weight loss', 'wheeze']
rejection;['chill', 'cough', 'fever', 'nausea', 'shortness breath', 'swelling']
relapsing;['chill', 'fever', 'nausea', 'vomiting', 'weakness', 'worry']
renal;['abdominal pain', 'back pain', 'chill', 'confusion', 'dark urine', 'fatigue', 'fever', 'frequent urination', 'high blood pressure', 'incontinence', 'irregular heartbeat', 'loss appetite', 'painful urination', 'pale skin', 'swelling', 'weakness', 'weight loss']
renovascular;['confusion', 'high blood pressure', 'nausea', 'vomiting', 'worry']
respiratory;['anxiety', 'breathing problems', 'chill', 'confusion', 'cough', 'diarrhea', 'fatigue', 'fever', 'inflammation', 'irritability', 'low blood pressure', 'nausea', 'numbness', 'perspiration', 'rapid breathing', 'runny nose', 'shortness breath', 'sneeze', 'tremor', 'vertigo', 'vomiting', 'wheeze', 'worry']
restless;['anxiety', 'confusion', 'daytime sleepiness', 'depression', 'itch', 'prickling']
restrictive;['breathing problems', 'chest pain', 'cough', 'fatigue', 'loss appetite', 'swelling']
retinal;['blurred vision']
retinitis;['blurred vision']
retinoblastoma;['double vision', 'eye pain', 'inflammation']
retractions;['cough', 'swelling']
retroperitoneal;['abdominal pain', 'back pain', 'nausea', 'swelling', 'vomiting']
retropharyngeal;['difficulty swallowing', 'fever', 'salivate', 'throat pain']
rett;['breathing problems', 'constipation', 'excessive saliva', 'irregular breathing', 'salivate', 'seizure']
reye;['confusion', 'double vision', 'hearing loss', 'nausea', 'seizure', 'vomiting', 'weakness']
rhabdomyolysis;['fatigue', 'joint pain', 'muscle stiffness', 'seizure', 'stiffness', 'weakness', 'weight gain']
rhabdomyosarcoma;['hearing loss', 'swelling']
rheumatic;['chest pain', 'fever', 'inflammation', 'rash', 'shortness breath', 'swelling']
rheumatica;['depression', 'fatigue', 'fever', 'stiffness', 'weight loss']
rheumatoid;['chest pain', 'cough', 'dry eyes', 'fatigue', 'fever', 'itch', 'joint pain', 'numbness', 'prickling', 'shortness breath', 'stiffness', 'swelling', 'wheeze']
rhinitis;['cough', 'dark circles', 'fatigue', 'fever', 'irritability', 'nasal congestion', 'runny nose', 'sneeze', 'sore throat', 'stuffy nose', 'watery eyes', 'worry']
rhinopathy;['nasal congestion', 'runny nose', 'sneeze', 'stuffy nose']
rhinoplasty;['breathing problems']
rickets;['weakness']
rickettsialpox;['chill', 'cough', 'fever', 'loss appetite', 'muscle pain', 'nausea', 'perspiration', 'rash', 'runny nose', 'sore throat', 'vomiting', 'worry']
ringworm;['fever', 'hair loss', 'rash', 'swollen lymph nodes']
pierre robin syndrome;['choking']
rocky mountain spotted fever;['abdominal pain', 'chill', 'confusion', 'diarrhea', 'fever', 'hallucination', 'loss appetite', 'muscle pain', 'nausea', 'rash', 'vomiting', 'worry']
rosacea;['blush', 'inflammation', 'watery eyes']
rosea;['fatigue', 'fever', 'rash', 'skin rashes', 'sore throat', 'worry']
roseola;['eye redness', 'fever', 'inflammation', 'irritability', 'rash', 'runny nose', 'sore throat']
rsv;['breathing problems', 'cough', 'fever', 'irritability', 'rapid breathing', 'runny nose', 'shortness breath', 'sneeze', 'wheeze']
rubella;['bruise', 'fever', 'irritability', 'joint pain', 'rash', 'runny nose', 'seizure', 'worry']
rubinsteintaybi;['constipation', 'seizure']
rumination;['vomiting']
runny;['cough', 'fever', 'runny nose', 'stuffy nose']
rupture;['cough']
ruptured;['ear pain', 'earache', 'hearing loss', 'tinnitus', 'vertigo', 'weakness']
russellsilver;['constipation']
salicylate;['sore muscles']
salivary;['dry mouth', 'fever', 'inflammation', 'swelling']
salmonella;['abdominal pain', 'chill', 'diarrhea', 'fever', 'muscle pain', 'nausea', 'vomiting']
sarcoidosis;['eye pain', 'fever', 'irregular heartbeat', 'cough', 'dry mouth', 'dry eyes', 'swollen lymph nodes', 'worry', 'fainting spells', 'hair loss', 'swelling', 'rash', 'weight loss', 'seizure', 'fatigue', 'faint', 'palpitation', 'blurred vision', 'chest pain', 'itch', 'shortness breath', 'weakness']
sarcoma;['breathing problems', 'fever', 'shortness breath', 'swelling', 'vaginal discharge']
sars;['chill', 'cough', 'diarrhea', 'fever', 'inflammation', 'nausea', 'vertigo', 'vomiting', 'worry']
scabies;['itch', 'rash']
scalded;['fever', 'inflammation']
scarlet;['abdominal pain', 'chill', 'fever', 'rash', 'sore throat', 'vomiting', 'worry']
schistosomiasis;['abdominal pain', 'chill', 'diarrhea', 'fever', 'frequent urination', 'itch', 'painful urination', 'rash', 'swollen lymph nodes']
schizoaffective;['delusion', 'hallucination', 'paranoia']
schizophrenia;['agitation', 'depression', 'irritability', 'anxiety', 'hallucination', 'delusion']
schizotypal;['anxiety', 'delusion', 'depression']
sciatica;['burning sensation', 'cough', 'numbness', 'prickling', 'sharp pain', 'sneeze']
scintiscan;['high blood pressure']
scleritis;['blurred vision', 'eye pain', 'inflammation', 'sensitivity light']
scleroderma;['bloat', 'breathing problems', 'constipation', 'cough', 'diarrhea', 'difficulty swallowing', 'erectile dysfunction', 'hair loss', 'heartburn', 'joint pain', 'numbness', 'shortness breath', 'stiffness', 'swelling', 'wheeze']
sclerosing;['depression', 'fatigue', 'fever', 'itch', 'jaundice', 'loss appetite', 'mood swings', 'seizure', 'spasm', 'weight loss', 'worry']
sclerosis;['choking', 'constipation', 'cough', 'depression', 'difficulty swallowing', 'double vision', 'facial pain', 'fatigue', 'fever', 'gruffness', 'hearing loss', 'incontinence', 'loss balance', 'memory loss', 'muscle stiffness', 'numbness', 'prickling', 'salivate', 'seizure', 'shortness breath', 'spasm', 'stiffness', 'vertigo', 'weakness', 'weight loss']
scoliosis;['back pain', 'shoulder pain', 'weakness']
scrofula;['fever', 'perspiration', 'swelling']
scrotal;['fluid retention', 'swelling']
seasonal;['depression', 'irritability', 'weight gain', 'weight loss']
seborrheic;['inflammation', 'itch', 'skin lesions']
seizure;['itch', 'nausea', 'abdominal pain', 'numbness', 'seizure', 'incontinence', 'prickling', 'anxiety', 'perspiration', 'confusion', 'hallucination', 'vertigo', 'worry', 'weakness']
seizures;['confusion', 'fever', 'heat intolerance', 'high blood pressure', 'seizure']
sepsis;['breathing problems', 'chill', 'confusion', 'diarrhea', 'fever', 'hypothermia', 'jaundice', 'low blood pressure', 'low blood sugar', 'rash', 'seizure', 'vertigo', 'vomiting']
septal;['fever', 'nasal congestion', 'palpitation', 'perspiration', 'shortness breath', 'swelling']
septic shock;['agitation', 'chill', 'confusion', 'fever', 'inflammation', 'joint pain', 'low blood pressure', 'palpitation', 'rash', 'restlessness', 'shortness breath', 'swelling', 'vertigo']
septicemia;['cold skin', 'rapid breathing']
septoplasty;['numbness', 'snoring', 'swelling']
sheehan;['fatigue', 'low blood pressure']
shigellosis;['abdominal pain', 'diarrhea', 'fever', 'nausea', 'vomiting']
shingles;['chill', 'fever', 'hearing loss', 'itch', 'joint pain', 'prickling', 'rash', 'swollen glands', 'weakness', 'worry']
shock;['agitation', 'anxiety', 'chest pain', 'chill', 'confusion', 'diarrhea', 'fever', 'inflammation', 'low blood pressure', 'nausea', 'pale skin', 'palpitation', 'perspiration', 'rapid breathing', 'rash', 'restlessness', 'seizure', 'shortness breath', 'skin peeling', 'vertigo', 'vomiting', 'weakness', 'worry']
short;['diarrhea', 'fatigue', 'hypothyroidism', 'swelling', 'weight loss']
shortness;['anxiety', 'constipation', 'shortness breath']
shunt;['blood clots', 'swelling']
shunting;['blood clots']
sick;['breathing problems', 'chest pain', 'confusion', 'cough', 'faint', 'fatigue', 'fever', 'low blood sugar', 'nausea', 'palpitation', 'shortness breath', 'sneeze', 'vertigo', 'vomiting']
sickle;['abdominal pain', 'confusion', 'delayed growth', 'fatigue', 'jaundice', 'painful joints', 'shortness breath']
sickness;['anxiety', 'chest tightness', 'confusion', 'cough', 'difficulty sleeping', 'fatigue', 'fever', 'insomnia', 'itch', 'joint pain', 'loss appetite', 'nausea', 'perspiration', 'rash', 'shortness breath', 'swelling', 'swollen lymph nodes', 'urtication', 'vertigo', 'vomiting', 'weakness', 'worry']
silicosis;['cough', 'shortness breath', 'weight loss']
simple;['chest pain', 'cough', 'fever', 'gruffness', 'rash', 'shortness breath', 'wheeze']
simplespecific;['anxiety']
simplex;['itch']
sinus;['chest pain', 'confusion', 'faint', 'fatigue', 'palpitation', 'shortness breath', 'vertigo', 'worry']
sinusitis;['bad breath', 'cough', 'fatigue', 'fever', 'loss smell', 'pain behind the eyes', 'sore throat', 'toothache', 'worry']
sjogren;['burning sensation', 'cough', 'difficulty swallowing', 'dry eyes', 'dry mouth', 'fatigue', 'fever', 'gruffness', 'heartburn', 'irregular heartbeat', 'itch', 'joint pain', 'nausea', 'numbness', 'painful urination', 'rash', 'shortness breath', 'swelling', 'swollen glands']
sleep;['chronic fatigue', 'confusion', 'daytime sleepiness', 'depression', 'difficulty falling asleep', 'fatigue', 'hallucination', 'heartburn', 'high blood pressure', 'insomnia', 'numbness', 'shortness breath', 'snoring', 'weakness', 'worry']
sleeping;['anxiety', 'constipation', 'fever', 'heartburn', 'insomnia', 'perspiration', 'shortness breath', 'swollen lymph nodes', 'weakness', 'worry']
sleepwalking;['sleepwalking', 'confusion']
slipped;['difficulty walking', 'knee pain', 'stiffness']
slipping;['cough']
smallpox;['diarrhea', 'fatigue', 'fever', 'nausea', 'rash', 'vomiting', 'worry']
smear;['cough']
sore;['fever', 'joint pain', 'rash', 'skin rashes', 'sore throat', 'swollen lymph nodes', 'worry']
sores;['fever', 'rash']
spasm;['chest pain', 'indigestion', 'shortness breath']
spasms;['anxiety', 'electrolyte imbalance', 'neck pain', 'spasm']
spasticity;['electrolyte imbalance', 'spasm']
spherocytic;['fatigue', 'irritability', 'jaundice', 'shortness breath', 'weakness']
sphincter;['cough', 'incontinence', 'sneeze']
spinal;['back pain', 'bluish lips', 'breathing problems', 'chill', 'constipation', 'cough', 'difficulty walking', 'fever', 'incontinence', 'loss sensation', 'neck pain', 'numbness', 'perspiration', 'prickling', 'shortness breath', 'spasm', 'swelling', 'weakness', 'worry']
spine;['back pain', 'numbness', 'prickling', 'weakness']
spleen;['bruise', 'inflammation', 'nausea', 'sore throat']
splenorenal;['blood clots']
spondylitis;['back pain', 'fatigue', 'fever', 'inflammation', 'stiffness', 'swelling']
spondylolisthesis;['back pain', 'numbness', 'prickling', 'stiffness', 'weakness']
spondylosis;['cough', 'loss balance', 'numbness', 'shoulder pain', 'slowness', 'stiffness', 'weakness', 'worry']
sporotrichosis;['breathing problems']
sprain;['bruise', 'swelling']
sprains;['muscle pain', 'bruise', 'stiffness', 'joint pain', 'numbness', 'swelling']
sprue;['abdominal pain', 'anxiety', 'bloat', 'bruise', 'constipation', 'depression', 'diarrhea', 'fatigue', 'fever', 'hair loss', 'indigestion', 'joint pain', 'nausea', 'numbness', 'prickling', 'rash', 'seizure', 'swelling', 'vomiting', 'weight gain', 'weight loss']
sputum;['cough']
staphylococcal;['agitation', 'chill', 'fever', 'irritability', 'nausea', 'rapid breathing', 'sensitivity light', 'vomiting', 'worry']
staphylococcus;['chest pain', 'chill', 'cough', 'fatigue', 'fever', 'rash', 'shortness breath', 'worry']
stasis;['swelling']
statins;['high blood pressure']
stature;['hypothyroidism']
stenosis;['breathing problems', 'chest pain', 'cough', 'faint', 'fatigue', 'high blood pressure', 'incontinence', 'numbness', 'palpitation', 'perspiration', 'shortness breath', 'swelling', 'vertigo', 'weakness']
stent;['bruise', 'chest pain', 'shortness breath']
stereotactic;['inflammation', 'nausea', 'swelling', 'tremor']
sterile;['cough']
stings;['abdominal pain', 'blush', 'chest pain', 'difficulty swallowing', 'faint', 'inflammation', 'itch', 'numbness', 'prickling', 'rash', 'swelling', 'vertigo', 'vomiting']
stomach;['abdominal pain', 'chill', 'diarrhea', 'difficulty swallowing', 'fatigue', 'fever', 'loss appetite', 'muscle pain', 'nausea', 'perspiration', 'stiffness', 'vomiting', 'weakness', 'weight loss']
stomatitis;['difficulty swallowing', 'fever', 'irritability', 'salivate']
stones;['abdominal pain', 'bruise', 'chill', 'dry mouth', 'fever', 'nausea', 'swelling', 'vomiting']
stools;['blood stool', 'vomiting']
strabismus;['double vision']
strains;['swelling']
strep;['chill', 'fever', 'loss appetite', 'nausea', 'rash', 'sore throat', 'worry']
streptococcal;['cold skin', 'rapid breathing']
stress;['agitation', 'anxiety', 'back pain', 'breathing problems', 'cough', 'depression', 'faint', 'incontinence', 'vertigo', 'worry']
stricture;['abdominal pain', 'chill', 'dark urine', 'fever', 'frequent urination', 'itch', 'jaundice', 'loss appetite', 'nausea', 'painful urination', 'swelling', 'vomiting', 'weight loss']
stridor;['cough', 'swelling', 'swollen tonsils']
stroke;['blood clots', 'confusion', 'cough', 'depression', 'double vision', 'loss balance', 'numbness', 'prickling', 'spasm', 'vertigo', 'weakness', 'worry']
strongyloidiasis;['abdominal pain', 'cough', 'diarrhea', 'fever', 'rash', 'vomiting', 'weight loss']
stuffy;['cough', 'fever', 'runny nose', 'stuffy nose']
sturgeweber;['hypothyroidism', 'seizure', 'weakness', 'worry']
stuttering;['anxiety', 'spasm', 'tremor']
subacute;['cold intolerance', 'confusion', 'constipation', 'depression', 'dry skin', 'fatigue', 'fever', 'gruffness', 'hair loss', 'heat intolerance', 'hyperthyroidism', 'hypothyroidism', 'irritability', 'loss balance', 'mood swings', 'numbness', 'painful swallowing', 'palpitation', 'perspiration', 'prickling', 'seizure', 'slowness', 'spasm', 'tremor', 'unsteady gait', 'weakness', 'weight gain', 'weight loss', 'worry']
subarachnoid;['confusion', 'double vision', 'irritability', 'nausea', 'neck pain', 'numbness', 'seizure', 'shoulder pain', 'vomiting', 'worry']
subareolar;['chill', 'fatigue', 'fever', 'swelling']
subcutaneous;['bruise', 'cough', 'inflammation', 'swelling', 'vomiting']
subdural;['confusion', 'fever', 'irritability', 'low energy', 'nausea', 'numbness', 'persistent fever', 'seizure', 'vomiting', 'weakness', 'worry']
suicidal;['anxiety']
suicide;['anxiety']
supranuclear;['difficulty swallowing', 'loss balance', 'spasm', 'stiffness', 'tremor']
suspension;['incontinence']
sutures;['hypothyroidism']
svc;['faint', 'inflammation', 'shortness breath', 'swelling', 'vertigo', 'worry']
swallowing;['chest pain', 'choking', 'constipation', 'cough', 'diarrhea', 'difficulty swallowing', 'heartburn', 'nausea', 'rash', 'shortness breath', 'sore throat', 'spasm', 'swelling', 'vomiting', 'weight loss', 'wheeze']
sweating;['anxiety', 'fever', 'hypoglycemia', 'low blood sugar', 'perspiration']
sweats;['hot flashes', 'night sweats']
swelling;['ankle swelling', 'facial swelling', 'fever', 'fluid retention', 'high blood pressure', 'swelling']
swimmers ear;['ear pain', 'hearing loss', 'itch']
swollen;['irritable bowel syndrome', 'swelling', 'swollen lymph nodes']
sydenham;['fever', 'joint pain', 'rash', 'skin rashes', 'swelling']
sympathectomy;['perspiration']
syncytial;['breathing problems', 'cough', 'fever', 'irritability', 'rapid breathing', 'runny nose', 'shortness breath', 'sneeze', 'wheeze']
synovitis;['fever', 'knee pain']
syphilis;['fever', 'hair loss', 'irritability', 'joint pain', 'loss appetite', 'rash', 'swelling', 'swollen lymph nodes']
syphilitic;['blurred vision', 'confusion', 'fever', 'irritability', 'nausea', 'seizure', 'sensitivity light', 'vomiting', 'worry']
syringomyelia;['difficulty walking', 'loss reflexes', 'numbness', 'spasm', 'weakness', 'worry']
syrup;['seizure', 'vomiting']
systemic;['abdominal pain', 'chest pain', 'cough', 'fatigue', 'fever', 'hair loss', 'irregular heartbeat', 'joint pain', 'nausea', 'numbness', 'prickling', 'rash', 'seizure', 'shortness breath', 'swelling', 'swollen lymph nodes', 'vomiting', 'weakness', 'weight loss', 'worry']
tabes;['loss coordination', 'weakness']
tachycardia;['chest tightness', 'faint', 'palpitation', 'shortness breath', 'vertigo', 'weight loss']
tachypnea;['breathing problems', 'rapid breathing']
tailbone;['bruise', 'numbness', 'swelling']
takayasu;['chest pain', 'fatigue', 'fever', 'high blood pressure', 'joint pain', 'night sweats', 'rash', 'vertigo', 'weakness', 'weight loss']
tamponade;['anxiety', 'breathing problems', 'chest pain', 'cough', 'faint', 'jaundice', 'palpitation', 'rapid breathing', 'restlessness', 'swelling', 'vertigo']
tapeworm;['diarrhea', 'weakness', 'weight loss']
tardive;['restlessness']
tarry;['vomiting']
tarsal;['burning sensation', 'numbness', 'prickling', 'weakness']
taysachs;['irritability', 'seizure']
telangiectasia;['seizure', 'shortness breath']
tendinitis;['numbness', 'stiffness', 'swelling']
tendonitis;['swelling']
tennis elbow;['elbow pain', 'swelling', 'weak grip']
tenosynovitis;['fever', 'inflammation', 'swelling']
tension;['anxiety', 'difficulty sleeping', 'fatigue', 'nausea', 'vomiting', 'worry']
teratoma;['chest pain', 'cough', 'fatigue', 'shortness breath']
terminal;['depression']
terrors;['perspiration', 'rash']
testing;['hypoglycemia', 'low blood sugar']
tests;['chest pain', 'indigestion']
tetanus;['breathing problems', 'excessive sweating', 'fever', 'irritability', 'perspiration', 'salivate', 'spasm']
thalassemia;['fatigue', 'jaundice', 'shortness breath']
thoracic;['back pain', 'gruffness', 'nausea', 'numbness', 'perspiration', 'prickling', 'swelling', 'vomiting', 'weakness']
thrombasthenia;['bleeding gums', 'bruise', 'heavy menstrual bleeding']
thromboangiitis;['prickling']
thrombocythemia;['bruise', 'prickling', 'worry']
thrombocytopenia;['bruise', 'rash']
thrombocytopenic;['bruise', 'confusion', 'fatigue', 'fever', 'pale skin', 'rash', 'shortness breath', 'weakness', 'worry']
thrombophlebitis;['inflammation', 'swelling']
thrombosis;['abdominal pain', 'back pain', 'bloat', 'chest pain', 'chill', 'constipation', 'cough', 'diarrhea', 'fever', 'inflammation', 'nausea', 'swelling', 'vomiting', 'worry']
thrombotic;['confusion', 'fatigue', 'fever', 'pale skin', 'shortness breath', 'weakness', 'worry']
thrush;['inflammation', 'rash']
thyroid;['agitation', 'anxiety', 'blush', 'breathing problems', 'chest pain', 'confusion', 'constipation', 'cough', 'diarrhea', 'difficulty swallowing', 'dry skin', 'fatigue', 'feeling cold', 'gruffness', 'hair loss', 'hyperthyroidism', 'memory loss', 'palpitation', 'perspiration', 'restlessness', 'shortness breath', 'swelling', 'weight gain', 'weight loss']
thyroiditis;['cold intolerance', 'constipation', 'difficulty concentrating', 'dry skin', 'fatigue', 'fever', 'gruffness', 'hair loss', 'heat intolerance', 'hyperthyroidism', 'hypothyroidism', 'irritability', 'painful swallowing', 'palpitation', 'perspiration', 'restlessness', 'tremor', 'weight gain', 'weight loss']
thyrotoxic;['excessive sweating', 'fatigue', 'heat intolerance', 'hyperthyroidism', 'insomnia', 'palpitation', 'perspiration', 'tremor', 'weakness', 'weight loss', 'worry']
tic;['fatigue']
tick;['confusion', 'fever', 'inflammation', 'nausea', 'perspiration', 'rash', 'sensitivity light', 'unsteady gait', 'vomiting', 'weakness', 'worry']
tics;['itch']
tie;['weight gain', 'weight loss']
tinea;['itch', 'perspiration', 'swelling']
tingling;['back pain', 'numbness', 'prickling']
tinnitus;['hearing loss', 'high blood pressure', 'tinnitus', 'vertigo']
tmj;['earache', 'jaw pain', 'worry']
tonicclonic;['confusion', 'hallucination', 'incontinence', 'seizure', 'vertigo', 'weakness', 'worry']
tonsil;['bad breath', 'ear pain', 'fever', 'sore throat', 'swelling']
tonsillitis;['chill', 'difficulty swallowing', 'ear pain', 'fever', 'sore throat', 'worry']
tooth;['bad breath', 'fever', 'hypothyroidism', 'inflammation', 'jaundice', 'swelling', 'swollen glands', 'swollen lymph nodes', 'toothache', 'worry']
torsion;['nausea', 'swelling', 'vomiting']
torticollis;['neck pain', 'stiffness', 'swelling', 'worry']
tourette;['cough', 'depression', 'hyperactivity']
toxic;['chest pain', 'chill', 'confusion', 'diarrhea', 'fatigue', 'fever', 'heat intolerance', 'hyperthyroidism', 'inflammation', 'knee pain', 'low blood pressure', 'nausea', 'palpitation', 'perspiration', 'rash', 'restlessness', 'seizure', 'skin peeling', 'vomiting', 'weakness', 'weight loss', 'worry']
toxicity;['blurred vision', 'confusion', 'diarrhea', 'loss appetite', 'nausea', 'swelling', 'vomiting']
toxoplasmosis;['blurred vision', 'bruise', 'confusion', 'fever', 'hearing loss', 'jaundice', 'muscle pain', 'rash', 'seizure', 'sore throat', 'vomiting', 'worry']
tracheal;['cough']
tracheitis;['cough', 'fever']
tracheoesophageal;['choking']
tracheomalacia;['breathing problems', 'cough']
trachoma;['swelling']
transcatheter;['chest pain', 'faint', 'fainting spells', 'shortness breath']
transient;['breathing problems', 'confusion', 'jaundice', 'loss balance', 'memory loss', 'numbness', 'prickling', 'rapid breathing', 'seizure', 'vertigo', 'weakness']
transjugular;['blood clots']
transposition;['shortness breath']
transurethral;['blood clots', 'cough', 'sneeze']
transverse;['anxiety', 'chronic pain', 'constipation', 'depression', 'difficulty walking', 'erectile dysfunction', 'fever', 'incontinence', 'loss appetite', 'loss balance', 'numbness', 'prickling', 'weakness']
trauma;['breathing problems', 'bruise', 'constipation', 'double vision', 'hearing loss', 'incontinence', 'numbness', 'perspiration', 'spasm', 'swelling', 'tinnitus', 'weakness']
traumatic;['abdominal pain', 'bloat', 'bruise', 'confusion', 'memory loss', 'nausea', 'painful urination', 'pale skin', 'pelvic pain', 'perspiration', 'seizure', 'vomiting', 'weakness', 'worry']
tremens;['agitation', 'anxiety', 'chest pain', 'confusion', 'depression', 'fatigue', 'fever', 'hallucination', 'insomnia', 'irritability', 'loss appetite', 'nausea', 'pale skin', 'palpitation', 'perspiration', 'restlessness', 'seizure', 'sensitivity light', 'tremor', 'vomiting', 'worry']
tremor;['anxiety', 'fatigue', 'inflammation', 'tremor', 'weakness']
trench;['bad breath', 'fever', 'gum bleeding']
trichinosis;['diarrhea', 'facial swelling', 'fever', 'muscle pain', 'swelling', 'weakness']
trichomoniasis;['itch', 'swelling', 'vaginal discharge']
trichotillomania;['anxiety']
tricuspid;['fatigue', 'inflammation', 'shortness breath', 'swelling', 'weakness']
trigeminal;['loss sensation', 'spasm']
trisomy;['seizure']
tuberculosis;['swollen glands', 'fever', 'cough', 'night sweats', 'chill', 'perspiration', 'swelling', 'pale skin', 'weight loss', 'abdominal pain', 'fatigue', 'joint pain', 'back pain', 'vomiting', 'chest pain', 'shortness breath']
tuberculous;['agitation', 'chill', 'fever', 'irritability', 'nausea', 'sensitivity light', 'vomiting', 'worry']
tuberous;['cough', 'seizure', 'shortness breath']
tubulointerstitial;['bruise', 'confusion', 'fatigue', 'itch', 'muscle twitching', 'nausea', 'pale skin', 'seizure', 'vomiting', 'weakness', 'weight loss', 'worry']
tularemia;['chill', 'fever', 'muscle pain', 'perspiration', 'shortness breath', 'stiffness', 'weight loss', 'worry']
tumor;['abdominal pain', 'anxiety', 'back pain', 'blood urine', 'bruise', 'chest pain', 'chill', 'confusion', 'constipation', 'cough', 'depression', 'diarrhea', 'difficulty swallowing', 'double vision', 'dysphagia', 'fatigue', 'fever', 'gruffness', 'hearing loss', 'high blood pressure', 'hyperactivity', 'hyperthyroidism', 'increased thirst', 'loss appetite', 'loss balance', 'loss sensation', 'low blood pressure', 'memory loss', 'nausea', 'night sweats', 'numbness', 'perspiration', 'prickling', 'seizure', 'sensitivity heat', 'shortness breath', 'slowness', 'spasm', 'swelling', 'tinnitus', 'vertigo', 'vomiting', 'weakness', 'weight gain', 'weight loss', 'wheeze', 'worry']
tumors;['abdominal pain', 'anxiety', 'blurry vision', 'diarrhea', 'frequent urination', 'perspiration', 'rash', 'swelling', 'vomiting', 'weight loss', 'worry']
turner;['dry eyes']
twintotwin;['inflammation']
typhoid;['agitation', 'nausea', 'fever', 'diarrhea', 'constipation', 'chill', 'confusion', 'hallucination', 'worry', 'sharp pain', 'rash', 'abdominal pain', 'fatigue', 'vomiting']
typhus;['abdominal pain', 'chill', 'confusion', 'cough', 'fever', 'joint pain', 'low blood pressure', 'muscle pain', 'nausea', 'rash', 'vomiting', 'worry']
ulcerative;['diarrhea', 'fever', 'joint pain', 'nausea', 'swelling', 'vomiting', 'weight loss']
